LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,label
447,826,12,157,470,385,113,2824,210.28,384.45,31079782.27,26.95,8441,0,1726654.57,80843.08,3021,5420,609,155,3442,Y
37,29,8,42,19,19,6,133,108.14,46.32,232043.52,1.67,685,0.02,12891.31,5009.32,295,390,121,38,222,Y
11,405,0,17,404,2,1,814,101.2,206.01,4294926.45,6.95,2033,0,238607.05,20848.47,813,1220,811,411,844,Y
106,240,7,344,127,105,33,952,218.17,215.17,10100866.9,15.65,5669,0,561159.25,46943.69,2301,3368,262,49,1411,Y
101,464,11,75,263,256,140,1339,106.5,337.36,12120796.16,11.98,4308,0,673377.6,35928.07,1556,2752,226,98,1532,Y
67,187,4,1,94,63,27,391,233.07,58.04,785182.04,4.51,1780,0.02,43621.22,13527.84,718,1062,167,27,466,Y
105,344,9,40,207,171,58,1124,122.6,269.46,8901671.32,11.01,3848,0,494537.33,33034.94,1432,2416,279,105,1280,Y
18,47,0,10,24,13,1,75,87.74,30.06,79302.28,0.88,438,0.03,4405.68,2637.8,157,281,47,18,107,Y
39,163,1,6,94,67,3,656,114.78,174.22,3483952.81,6.67,2702,0.01,193552.92,19997.18,784,1918,117,52,706,N
143,67,7,49,34,25,1,589,569.78,49.3,1385089.67,9.36,3281,0.02,76949.43,28092.72,1522,1759,355,23,790,Y
202,503,3,78,286,197,82,1599,293.29,188.01,10367010.97,18.38,5392,0.01,575945.03,55140.81,2243,3149,1026,172,1882,Y
56,175,4,32,104,86,46,559,106.36,133.52,1896161.7,4.73,1822,0.01,105342.32,14201.43,645,1177,157,65,657,Y
23,39,2,9,20,8,6,91,72.83,27.61,55527.32,0.67,327,0.04,3084.85,2010.97,123,204,49,22,128,Y
53,338,17,30,173,65,90,622,201.58,112.1,2533263.14,7.53,2869,0.01,140736.84,22597.73,1093,1776,195,40,725,Y
63,65,14,11,33,17,19,244,174.35,47.68,396298.57,2.77,1180,0.02,22016.59,8312.38,504,676,111,21,334,Y
4,3,1,1,2,2,1,11,46.28,4.59,976.67,0.07,47,0.22,54.26,212.61,21,26,16,7,20,N
102,36,13,120,25,24,1,384,149.63,106.91,1710253.62,5.33,2049,0.01,95014.09,15997.27,784,1265,176,48,621,Y
11,21,6,12,11,10,5,51,55.41,26.96,40271.64,0.5,255,0.04,2237.31,1493.79,95,160,37,21,82,Y
5,3,0,0,2,2,1,16,29.06,13,4911.8,0.13,77,0.08,272.88,377.83,26,51,15,15,23,Y
28,45,0,31,23,15,10,184,233.12,27.43,175381.67,2.13,843,0.04,9743.43,6394.12,384,459,168,24,243,Y
17,17,0,9,9,6,4,78,79.42,28.09,62666.87,0.74,349,0.04,3481.49,2230.92,149,200,61,23,106,Y
88,53,0,51,27,15,17,329,258.56,46.27,553655.03,3.99,1579,0.02,30758.61,11964.76,676,903,168,23,470,Y
61,7,1,3,4,3,1,221,182.59,50,456476.77,3.04,1294,0.02,25359.82,9129.54,565,729,113,20,288,Y
10,39,0,4,20,15,16,76,88.31,25.69,58274.06,0.76,362,0.04,3237.45,2268.58,137,225,56,21,93,Y
32,25,1,20,13,11,11,105,111.25,38.42,164197.54,1.42,660,0.03,9122.09,4273.98,234,426,67,22,161,Y
17,169,1,17,85,58,57,287,209.56,24.56,126435.8,1.72,733,0.04,7024.21,5147.4,287,446,111,19,325,Y
35,97,0,47,49,35,17,241,149.47,42.55,270569.63,2.12,900,0.02,15031.65,6359.48,371,529,109,25,325,Y
18,17,0,10,9,7,1,46,39.89,30,35902.24,0.4,207,0.03,1994.57,1196.74,72,135,30,25,77,Y
14,3,1,26,2,2,1,41,40.37,30.02,36384.05,0.4,222,0.03,2021.34,1211.99,79,143,25,19,85,Y
1,11,0,35,10,10,1,96,49.81,69.04,237396.79,1.15,472,0.01,13188.71,3438.71,153,319,82,74,135,Y
22,27,0,17,14,12,6,90,97.88,29.93,87650.65,0.98,462,0.03,4869.48,2929.01,171,291,60,21,132,Y
5,274,0,13,273,2,1,552,113.44,140.51,2239582.39,5.31,1644,0.01,124421.27,15938.96,551,1093,549,280,572,Y
32,57,0,43,29,17,22,158,277.1,27.34,207113.99,2.53,1084,0.04,11506.33,7575.73,524,560,115,12,235,Y
10,7,0,8,4,3,1,44,67.03,21.15,29982.9,0.47,242,0.05,1665.72,1417.63,94,148,40,18,65,Y
9,21,2,15,11,7,3,35,28.31,23.33,15415.76,0.22,125,0.04,856.43,660.68,40,85,18,21,63,Y
42,139,0,8,70,10,1,150,112.95,48.12,261494.78,1.81,878,0.02,14527.49,5434.67,317,561,56,17,202,Y
54,127,1,4,82,76,8,452,72.24,140.64,1428851.32,3.39,1359,0.01,79380.63,10159.52,489,870,113,65,513,Y
16,7,0,3,4,4,1,28,46.75,16.19,12247.78,0.25,137,0.06,680.43,756.73,46,91,27,19,49,Y
135,55,34,206,37,37,1,525,234.62,133.13,4157975.43,10.41,3896,0.01,230998.66,31233.49,1301,2595,215,44,902,Y
30,111,3,15,56,33,12,192,180.19,25.61,118171.02,1.54,631,0.04,6565.06,4614.43,262,369,133,26,242,Y
33,41,3,44,21,12,7,112,107.44,21.1,47815.95,0.76,345,0.05,2656.44,2266.6,140,205,73,22,194,Y
27,135,1,42,68,25,20,271,82.1,95.8,753456.46,2.62,1189,0.01,41858.69,7864.89,479,710,70,28,343,Y
12,27,0,5,14,6,8,60,30.91,29.25,26444.87,0.3,155,0.03,1469.16,904.1,65,90,30,27,79,Y
27,81,0,4,68,68,1,266,87.76,69.28,421241.6,2.02,775,0.01,23402.31,6080.25,298,477,157,73,299,Y
33,12,3,32,7,6,1,80,41.9,44.83,84205.78,0.63,277,0.02,4678.1,1878.44,100,177,58,52,151,Y
15,13,0,6,7,5,4,75,72.52,28.25,57855.62,0.68,324,0.04,3214.2,2048.3,140,184,57,23,98,Y
20,15,0,10,8,6,4,91,92.07,27.5,69625.12,0.84,390,0.04,3868.06,2531.82,170,220,68,22,123,Y
80,37,0,0,19,19,1,242,354.41,35.06,435698.56,4.14,1743,0.03,24205.48,12426.34,748,995,128,12,324,Y
8,3,0,23,2,2,1,43,83.73,16.09,21679.38,0.45,232,0.06,1204.41,1347.31,118,114,44,12,76,Y
66,41,0,10,21,13,12,249,263.95,51.85,709716.25,4.56,1779,0.02,39428.68,13686.71,755,1024,182,25,327,Y
114,35,2,44,18,16,1,375,265.68,62.49,1037522.97,5.53,2158,0.02,57640.16,16602.54,953,1205,183,24,537,Y
33,77,0,0,39,35,3,155,154.91,30.71,146112.75,1.59,695,0.03,8117.38,4757.62,331,364,97,18,190,Y
19,63,0,21,32,3,17,161,52.37,61.46,197816.48,1.07,520,0.02,10989.8,3218.71,236,284,48,25,201,Y
7,27,4,7,14,8,11,69,51.74,32.36,54181.04,0.56,277,0.03,3010.06,1674.3,121,156,43,23,89,Y
13,25,1,2,13,11,4,68,74.46,18.01,24158.33,0.45,228,0.06,1342.13,1341.24,89,139,42,17,86,Y
25,35,2,2,23,15,5,133,62.78,56.36,199427.95,1.18,515,0.02,11079.33,3538.24,217,298,77,40,165,Y
27,42,7,37,23,11,15,124,97.16,49.53,238361.32,1.6,703,0.02,13242.3,4812.38,236,467,81,34,198,Y
9,61,7,10,31,14,13,90,81.05,36.19,106132.73,0.98,468,0.03,5896.26,2932.86,193,275,56,21,118,Y
26,37,2,14,20,18,7,143,92.37,39.13,141452.57,1.2,531,0.03,7858.48,3614.71,224,307,83,29,187,Y
36,81,1,86,41,15,23,132,111.55,23.16,59845.66,0.86,381,0.04,3324.76,2583.7,166,215,86,24,255,Y
4,61,0,1,31,28,28,44,50.09,37.73,71326.03,0.63,330,0.03,3962.56,1890.21,115,215,32,21,51,Y
12,29,0,16,15,3,1,85,43.88,40.92,73491.13,0.6,327,0.02,4082.84,1795.84,112,215,26,19,115,Y
8,13,1,10,7,6,1,51,55.85,20.31,23029.1,0.38,198,0.05,1279.39,1134.13,86,112,36,17,72,Y
28,5,2,29,3,3,1,129,254.87,17.06,74202.67,1.45,600,0.06,4122.37,4348.76,271,329,135,17,190,Y
38,71,0,4,36,36,1,148,104.97,34.83,127363.39,1.22,619,0.03,7075.74,3656.37,209,410,45,15,193,Y
29,73,23,6,37,35,22,165,91.19,53.49,260896.68,1.63,725,0.02,14494.26,4877.74,298,427,78,28,225,Y
21,87,0,7,44,44,40,172,111.79,41.37,191348.8,1.54,716,0.02,10630.49,4624.95,264,452,67,21,202,Y
17,35,1,16,18,12,1,93,86.08,26.66,61187.72,0.77,362,0.04,3399.32,2295.03,143,219,59,22,129,N
6,7,0,1,4,4,1,28,34.86,17.19,10297.3,0.2,126,0.06,572.07,599.12,50,76,16,11,37,Y
35,31,0,0,16,9,11,115,125.22,26.92,90732.21,1.12,500,0.04,5040.68,3370.73,208,292,85,22,152,Y
14,9,0,5,5,4,1,37,70.82,10.09,7213.09,0.24,126,0.1,400.73,714.73,59,67,38,13,58,Y
26,31,0,6,16,7,1,99,53.9,44.57,107055.81,0.8,440,0.02,5947.55,2402.15,191,249,30,14,133,Y
15,25,0,44,13,6,4,55,53.3,23.63,29758.92,0.42,215,0.04,1653.27,1259.47,97,118,39,19,116,Y
13,77,1,13,39,17,25,160,113.02,59.89,405328.56,2.26,948,0.02,22518.25,6768.29,425,523,110,31,187,Y
7,7,0,2,4,4,1,28,36.36,15.3,8511.09,0.19,106,0.07,472.84,556.28,34,72,20,18,40,Y
6,16,2,27,9,6,3,51,46.79,21.85,22329.28,0.34,171,0.05,1240.52,1022.11,71,100,39,24,86,Y
3,45,0,12,23,18,18,77,58.46,20.9,25543.94,0.41,220,0.05,1419.11,1222.01,81,139,31,16,94,Y
1,1,0,0,1,1,1,3,11.23,2,44.92,0.01,8,0.5,2.5,22.46,3,5,3,4,6,N
2,3,2,3,2,2,1,10,17.24,13.06,2940.89,0.08,53,0.08,163.38,225.14,19,34,8,11,19,Y
